# Version,,,,,,,,,,,,,,,,,,,,,,
MajorVersion, MinorVersion,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Count (1),,,,,,,,,,,,,,,,,,,,,,
DetectorCount,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Parameters (7),,,,,,,,,,,,,,,,,,,,,,
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer, DarkFieldPageCount, FlatFieldPageCount,,,,,,,,,,,,,,,,
0,360,0.18,0.18,4.00E-05,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Page Parameters (23),,,,,,,,,,,,,,,,,,,,,,
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
0,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-4,0,10,0,0,0, EEulerSequence_Extrinsic_XYZ,88.18
1,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.977778,0,10,4,0,0, EEulerSequence_Extrinsic_XYZ,88.18
2,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.955555,0,10,8,0,0, EEulerSequence_Extrinsic_XYZ,88.18
3,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.933333,0,10,12,0,0, EEulerSequence_Extrinsic_XYZ,88.18
4,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.911111,0,10,16,0,0, EEulerSequence_Extrinsic_XYZ,88.18
5,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.888889,0,10,20,0,0, EEulerSequence_Extrinsic_XYZ,88.18
6,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.866667,0,10,24,0,0, EEulerSequence_Extrinsic_XYZ,88.18
7,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.844445,0,10,28,0,0, EEulerSequence_Extrinsic_XYZ,88.18
8,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.822222,0,10,32,0,0, EEulerSequence_Extrinsic_XYZ,88.18
9,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.8,0,10,36,0,0, EEulerSequence_Extrinsic_XYZ,88.18
10,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.777778,0,10,40,0,0, EEulerSequence_Extrinsic_XYZ,88.18
11,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-3.755556,0,10,44,0,0, EEulerSequence_Extrinsic_XYZ,88.18
